kernel_id,gpu_target,category,file_name,source_path,algorithm_name,variant,line_count,byte_size,source_sha256,has_flags,flags_path,flags,requires_rdc_from_flags,requires_rdc,uses_cooperative_groups,uses_atomic_ops,uses_cache_pool,uses_compact_graph,uses_cusparse,includes
a100/centrality/katz_centrality_f32_mask,a100,centrality,katz_centrality_f32_mask.cu,cpp/src/aai/impl/a100/centrality/katz_centrality_f32_mask.cu,katz_centrality_f32,mask,348,10132,651e6b16c3af8f7e35fd073c54b2b60cbf06170fef246f664878e2a661ad8dd9,True,cpp/src/aai/impl/a100/centrality/katz_centrality_f32_mask.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;cstddef
a100/centrality/katz_centrality_f32_seg,a100,centrality,katz_centrality_f32_seg.cu,cpp/src/aai/impl/a100/centrality/katz_centrality_f32_seg.cu,katz_centrality_f32,seg,331,9888,411017c714e36fbbb4c0fa3121c8e3a689bf9afa8e3411c50280a346b5de2c54,True,cpp/src/aai/impl/a100/centrality/katz_centrality_f32_seg.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cub/block/block_reduce.cuh;cstdint;utility
a100/centrality/katz_centrality_f32_seg_mask,a100,centrality,katz_centrality_f32_seg_mask.cu,cpp/src/aai/impl/a100/centrality/katz_centrality_f32_seg_mask.cu,katz_centrality_f32,seg_mask,395,11120,2c02cbd964bf50fb9a2f06b3428b6537abe28880ef6412771126460f5ec01bf1,True,cpp/src/aai/impl/a100/centrality/katz_centrality_f32_seg_mask.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;cstddef;utility
a100/centrality/katz_centrality_f64,a100,centrality,katz_centrality_f64.cu,cpp/src/aai/impl/a100/centrality/katz_centrality_f64.cu,katz_centrality_f64,base,281,8865,ba1e2575ee6a18b36548e8884e2cede93993149f10882b3ef2546f4ddbb082a1,True,cpp/src/aai/impl/a100/centrality/katz_centrality_f64.cu.flags,--use_fast_math,False,False,False,True,True,True,True,cugraph/aai/algorithms.hpp;cuda_runtime.h;cusparse.h;cub/cub.cuh;cstdint;cmath;algorithm
a100/centrality/katz_centrality_f64_mask,a100,centrality,katz_centrality_f64_mask.cu,cpp/src/aai/impl/a100/centrality/katz_centrality_f64_mask.cu,katz_centrality_f64,mask,289,8464,4f66cfa9f7d5aee222566714c65b03789c64f2298a61e88186fc4a9405fdd922,False,,,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cub/cub.cuh;cstdint;cstddef;algorithm;cmath
a100/centrality/katz_centrality_f64_seg,a100,centrality,katz_centrality_f64_seg.cu,cpp/src/aai/impl/a100/centrality/katz_centrality_f64_seg.cu,katz_centrality_f64,seg,248,6854,f03a86ad42fc9397367a943417b9943f21f38b72a9d84ad5abf9f85c2225d9db,True,cpp/src/aai/impl/a100/centrality/katz_centrality_f64_seg.cu.flags,--use_fast_math,False,False,False,True,True,True,True,cugraph/aai/algorithms.hpp;cuda_runtime.h;cusparse.h;cub/cub.cuh;cstdint;cmath
a100/centrality/katz_centrality_f64_seg_mask,a100,centrality,katz_centrality_f64_seg_mask.cu,cpp/src/aai/impl/a100/centrality/katz_centrality_f64_seg_mask.cu,katz_centrality_f64,seg_mask,465,13769,9ebcc5cca5d3f9f5858e33a6740efd901e690952db534505a67fb45c11e56067,False,,,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cub/cub.cuh;cstdint;cstddef
a100/centrality/katz_centrality_mask,a100,centrality,katz_centrality_mask.cu,cpp/src/aai/impl/a100/centrality/katz_centrality_mask.cu,katz_centrality,mask,446,14327,ca451e68c6217117c850f61499ce912a9804ffacb5a6087bc7039c9084261037,True,cpp/src/aai/impl/a100/centrality/katz_centrality_mask.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cub/cub.cuh;cstdint;cstddef;cmath
a100/centrality/katz_centrality_seg,a100,centrality,katz_centrality_seg.cu,cpp/src/aai/impl/a100/centrality/katz_centrality_seg.cu,katz_centrality,seg,398,10999,b4578be5986e156fc03feefe1074b01f7926af3002f1b2244454190182cc143a,True,cpp/src/aai/impl/a100/centrality/katz_centrality_seg.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;cstddef;cmath
a100/centrality/katz_centrality_seg_mask,a100,centrality,katz_centrality_seg_mask.cu,cpp/src/aai/impl/a100/centrality/katz_centrality_seg_mask.cu,katz_centrality,seg_mask,471,15085,70cfceb689d7145f69209621641cc9f88e6f9a77d36e4281cd58aa4034b28aba,True,cpp/src/aai/impl/a100/centrality/katz_centrality_seg_mask.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;cmath;utility
a100/community/analyze_clustering_edge_cut_f32,a100,community,analyze_clustering_edge_cut_f32.cu,cpp/src/aai/impl/a100/community/analyze_clustering_edge_cut_f32.cu,analyze_clustering_edge_cut_f32,base,295,10338,593750f9121ad5d74020ecf708f1359f20e4453725ee678436d76c2763c363e9,True,cpp/src/aai/impl/a100/community/analyze_clustering_edge_cut_f32.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint
a100/community/analyze_clustering_edge_cut_f32_seg,a100,community,analyze_clustering_edge_cut_f32_seg.cu,cpp/src/aai/impl/a100/community/analyze_clustering_edge_cut_f32_seg.cu,analyze_clustering_edge_cut_f32,seg,204,6062,44dbe62b794c05d3af2c5a0d577902bea3bc73d53716fb4b9f8ddfe72ceb7e75,True,cpp/src/aai/impl/a100/community/analyze_clustering_edge_cut_f32_seg.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cub/cub.cuh;cstdint
a100/community/analyze_clustering_edge_cut_f64,a100,community,analyze_clustering_edge_cut_f64.cu,cpp/src/aai/impl/a100/community/analyze_clustering_edge_cut_f64.cu,analyze_clustering_edge_cut_f64,base,118,3669,8c78892d336d8667a5097668aa69b0a2749f7e52d95200d6421f0ffc354cb30f,True,cpp/src/aai/impl/a100/community/analyze_clustering_edge_cut_f64.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;cub/block/block_reduce.cuh
a100/community/analyze_clustering_edge_cut_f64_seg,a100,community,analyze_clustering_edge_cut_f64_seg.cu,cpp/src/aai/impl/a100/community/analyze_clustering_edge_cut_f64_seg.cu,analyze_clustering_edge_cut_f64,seg,234,6962,bb6fe2013fa7fd8c47a50984ec03bea696c1cd17b66a06a0c6a97c645ee0fb18,True,cpp/src/aai/impl/a100/community/analyze_clustering_edge_cut_f64_seg.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cub/cub.cuh;cstdint
a100/community/analyze_clustering_modularity_f32,a100,community,analyze_clustering_modularity_f32.cu,cpp/src/aai/impl/a100/community/analyze_clustering_modularity_f32.cu,analyze_clustering_modularity_f32,base,945,32900,ff051a64dd6e81dd4aa10453ed22ac937530adaa7f98d52dc7011d2909667e26,True,cpp/src/aai/impl/a100/community/analyze_clustering_modularity_f32.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint
